employee_program_id,employee_id,program_id,enrollment_date,completion_date,participation_status,completion_score
EP000859,E00761,P002,2024-12-13,2024-12-18,Completed,92.01
EP000860,E04555,P012,2025-05-20,2025-05-26,Completed,85.8
EP000861,E04356,P025,2024-09-05,2024-11-29,Completed,85.33
EP000862,E04006,P001,2026-02-10,2026-02-16,Completed,97.34
EP000863,E03599,P022,2024-12-10,,Withdrawn,
EP000864,E00382,P034,2025-04-08,2025-05-26,Completed,90.03
EP000865,E01930,P018,2026-06-20,2026-06-30,Completed,94.62
EP000866,E03524,P023,2025-07-19,2025-08-30,Completed,76.49
EP000867,E00953,P028,2024-06-25,2024-08-23,Completed,83.16
EP000868,E00851,P033,2025-03-20,2025-04-05,Completed,72.45
EP000869,E04715,P016,2024-09-25,,Enrolled,
EP000870,E02184,P025,2024-09-07,2024-12-03,Completed,81.27
EP000871,E03041,P023,2025-06-05,,Enrolled,
EP000872,E01488,P037,2026-07-05,2026-07-05,Completed,71.43
EP000873,E04025,P014,2026-11-04,,In Progress,
EP000874,E00248,P028,2024-05-25,,Enrolled,
EP000875,E02136,P014,2026-09-25,2026-12-10,Completed,86.91
EP000876,E02052,P021,2025-03-11,,Withdrawn,
EP000877,E03619,P033,2025-01-18,2025-01-26,Completed,80.69
EP000878,E03157,P015,2025-05-02,2025-06-13,Completed,83.81
EP000879,E02029,P037,2026-05-31,,Enrolled,
EP000880,E02265,P031,2026-08-23,2026-08-24,Completed,100.0
EP000881,E04953,P010,2024-08-16,2024-08-17,Completed,81.11
EP000882,E01316,P020,2025-12-21,,Enrolled,
EP000883,E02704,P023,2025-06-02,2025-09-03,Completed,93.26
EP000884,E02636,P004,2025-12-31,2026-01-04,Completed,95.75
EP000885,E02437,P007,2024-09-10,,Enrolled,
EP000886,E00322,P036,2024-12-05,,Enrolled,
EP000887,E04776,P026,2026-09-14,,In Progress,
EP000888,E01388,P025,2024-11-28,2024-12-03,Completed,83.25
EP000889,E01583,P019,2025-11-27,,Enrolled,
EP000890,E01090,P031,2026-07-03,2026-07-27,Completed,82.95
EP000891,E00338,P004,2025-09-25,2025-12-02,Completed,87.88
EP000892,E01434,P020,2025-10-13,2025-12-22,Completed,80.99
EP000893,E04659,P025,2024-11-23,2024-12-04,Completed,92.85
EP000894,E02648,P018,2026-04-03,,Enrolled,
EP000895,E03564,P005,2025-05-06,2025-06-10,Completed,68.23
EP000896,E03254,P002,2024-10-21,,Enrolled,
EP000897,E03067,P005,2025-08-01,2025-08-09,Completed,86.29
EP000898,E02419,P028,2024-07-31,,Withdrawn,
EP000899,E00637,P037,2026-06-26,2026-07-09,Completed,84.29
EP000900,E01976,P023,2025-05-08,,Enrolled,
EP000901,E02469,P011,2024-09-28,,Withdrawn,
EP000902,E03615,P013,2025-07-11,,Enrolled,
EP000903,E03608,P021,2025-02-10,2025-02-17,Completed,78.08
EP000904,E02905,P018,2026-04-30,,Enrolled,
EP000905,E05000,P010,2024-08-27,,Withdrawn,
EP000906,E02528,P015,2025-03-03,2025-06-04,Completed,84.5
EP000907,E03968,P018,2026-04-26,2026-06-13,Completed,78.87
EP000908,E02018,P002,2024-10-17,,Enrolled,
EP000909,E04480,P028,2024-08-18,2024-09-05,Completed,78.7
EP000910,E00336,P020,2025-12-21,2026-01-09,Completed,69.08
EP000911,E02099,P008,2024-06-22,2024-08-24,Completed,81.83
EP000912,E02521,P012,2025-05-02,,Enrolled,
EP000913,E02969,P019,2026-03-18,,Enrolled,
EP000914,E00445,P034,2025-07-09,,Enrolled,
EP000915,E01790,P008,2024-06-10,2024-08-31,Completed,64.65
EP000916,E04592,P010,2024-08-17,2024-08-18,Completed,84.46
EP000917,E02870,P035,2024-08-13,,Enrolled,
EP000918,E00106,P040,2024-09-24,,Enrolled,
EP000919,E01512,P031,2026-08-24,,In Progress,
EP000920,E00456,P031,2026-07-21,2026-08-22,Completed,79.86
EP000921,E03679,P030,2026-06-15,,In Progress,
EP000922,E04609,P003,2025-10-14,,Enrolled,
EP000923,E02290,P030,2026-06-11,,In Progress,
EP000924,E01940,P016,2024-12-01,,Withdrawn,
EP000925,E04206,P020,2025-11-11,2026-01-07,Completed,90.48
EP000926,E02495,P029,2026-04-30,2026-05-13,Completed,80.75
EP000927,E00132,P021,2025-02-19,,Enrolled,
EP000928,E01270,P013,2025-07-21,,Enrolled,
EP000929,E03073,P017,2024-05-17,,Enrolled,
EP000930,E00631,P001,2025-11-15,,Enrolled,
EP000931,E02974,P006,2025-07-02,2025-08-06,Completed,77.29
EP000932,E04914,P012,2025-07-02,2025-07-04,Completed,91.08
EP000933,E04890,P018,2026-04-24,,Withdrawn,
EP000934,E00230,P039,2026-05-26,,Enrolled,
EP000935,E04004,P016,2024-12-14,,Enrolled,
EP000936,E00464,P003,2025-12-06,,Enrolled,
EP000937,E01189,P040,2024-09-22,,Withdrawn,
EP000938,E04920,P022,2024-12-19,2024-12-25,Completed,90.46
EP000939,E02511,P033,2025-02-28,2025-03-26,Completed,90.27
EP000940,E01350,P020,2026-01-13,2026-01-14,Completed,81.52
EP000941,E02721,P036,2024-12-26,,Enrolled,
EP000942,E01419,P008,2024-11-11,,Enrolled,
EP000943,E04099,P031,2026-07-05,,In Progress,
EP000944,E01532,P015,2025-05-17,2025-05-20,Completed,88.52
EP000945,E03595,P023,2025-07-24,,Withdrawn,
EP000946,E03221,P020,2025-12-28,2026-01-11,Completed,91.36
EP000947,E01865,P035,2024-09-08,2024-09-09,Completed,71.58
EP000948,E02016,P007,2024-10-09,,Enrolled,
EP000949,E01580,P021,2025-01-08,,Enrolled,
EP000950,E03129,P034,2025-03-20,,Enrolled,
EP000951,E04306,P037,2026-06-05,,Enrolled,
EP000952,E02761,P039,2026-03-10,2026-03-21,Completed,85.74
EP000953,E03979,P009,2024-10-23,2024-10-27,Completed,76.76
EP000954,E03733,P012,2025-04-21,2025-04-27,Completed,92.0
EP000955,E03828,P018,2026-06-27,,Enrolled,
EP000956,E04457,P006,2025-04-22,2025-06-24,Completed,77.47
EP000957,E04830,P013,2025-05-21,2025-05-30,Completed,89.01
EP000958,E04411,P015,2025-05-08,2025-05-13,Completed,72.53
EP000959,E00769,P001,2026-01-23,2026-02-10,Completed,66.86
EP000960,E03404,P006,2025-05-03,,Enrolled,
EP000961,E04898,P027,2024-11-17,,Withdrawn,
EP000962,E01091,P037,2026-05-20,2026-06-11,Completed,87.27
EP000963,E03919,P034,2025-08-14,,Withdrawn,
EP000964,E02760,P002,2024-07-21,2024-12-11,Completed,81.62
EP000965,E00237,P003,2025-10-22,2025-10-31,Completed,72.04
EP000966,E04432,P020,2025-12-16,2026-01-11,Completed,71.06
EP000967,E03602,P012,2025-06-19,2025-06-19,Completed,86.49
EP000968,E01365,P026,2026-09-30,,Withdrawn,
EP000969,E04891,P004,2026-02-20,2026-02-20,Completed,66.58
EP000970,E04716,P015,2025-04-28,2025-06-02,Completed,78.67
EP000971,E04739,P035,2024-07-03,2024-07-13,Completed,81.53
EP000972,E00620,P008,2024-07-02,2024-08-29,Completed,82.46
EP000973,E00394,P021,2025-01-12,2025-03-14,Completed,84.49
EP000974,E03610,P028,2024-08-28,,Withdrawn,
EP000975,E03502,P040,2024-09-13,2024-10-16,Completed,77.35
EP000976,E00163,P011,2025-01-03,2025-02-05,Completed,74.23
EP000977,E03817,P021,2025-02-16,2025-03-12,Completed,92.43
EP000978,E03805,P029,2025-12-31,2026-02-18,Completed,80.43
EP000979,E01656,P007,2024-09-10,,Enrolled,
EP000980,E00876,P012,2025-06-02,,Enrolled,
EP000981,E03523,P030,2026-08-12,2026-08-17,Completed,86.39
EP000982,E03180,P040,2025-01-20,2025-01-20,Completed,87.91
EP000983,E00533,P030,2026-07-12,2026-08-04,Completed,93.96
EP000984,E01996,P003,2025-10-12,2025-11-19,Completed,88.28
EP000985,E03139,P023,2025-07-08,2025-07-13,Completed,80.46
EP000986,E01886,P010,2024-06-15,,Enrolled,
EP000987,E01094,P001,2026-01-27,,Enrolled,
EP000988,E00049,P008,2024-11-02,,Enrolled,
EP000989,E00558,P032,2025-03-31,,Enrolled,
EP000990,E01224,P027,2025-01-14,2025-01-20,Completed,78.34
EP000991,E01777,P015,2025-03-27,2025-05-02,Completed,99.0
EP000992,E01346,P004,2025-11-14,,Enrolled,
EP000993,E02374,P037,2026-07-06,2026-07-10,Completed,87.87
EP000994,E03361,P017,2024-04-05,,Enrolled,
EP000995,E04823,P032,2025-04-14,,Enrolled,
EP000996,E04502,P037,2026-07-15,,Enrolled,
EP000997,E01884,P029,2026-03-08,,Enrolled,
EP000998,E03263,P020,2025-10-09,2025-10-13,Completed,75.56
EP000999,E02143,P030,2026-05-29,,Withdrawn,
EP001000,E04830,P032,2025-02-03,2025-05-04,Completed,90.77
EP001001,E03864,P039,2026-05-12,,Enrolled,
EP001002,E02812,P034,2025-09-22,2025-09-22,Completed,69.66
EP001003,E03507,P001,2025-11-29,2026-02-11,Completed,82.61
EP001004,E01724,P036,2025-01-26,,Withdrawn,
EP001005,E04381,P034,2025-04-27,2025-07-08,Completed,77.56
EP001006,E03773,P014,2026-12-19,,Withdrawn,
EP001007,E03016,P038,2025-04-11,,Enrolled,
EP001008,E01111,P032,2025-03-26,,Enrolled,
EP001009,E01399,P026,2026-09-16,2026-09-28,Completed,89.98
EP001010,E01563,P024,2025-01-13,2025-02-20,Completed,73.27
EP001011,E00435,P037,2026-05-25,2026-07-03,Completed,75.53
EP001012,E04025,P037,2026-06-10,,Enrolled,
EP001013,E01969,P006,2025-06-02,,Withdrawn,
EP001014,E02726,P032,2025-04-20,2025-05-10,Completed,99.74
EP001015,E02228,P010,2024-06-20,,Enrolled,
EP001016,E02084,P036,2025-02-06,,Withdrawn,
EP001017,E04575,P032,2025-02-22,2025-03-09,Completed,82.26
EP001018,E02360,P016,2024-11-21,2024-12-06,Completed,72.71
EP001019,E01879,P040,2024-12-09,2025-01-26,Completed,82.93
EP001020,E01199,P002,2024-10-08,2024-10-16,Completed,100.0
EP001021,E01725,P020,2025-11-19,,Enrolled,
EP001022,E02898,P010,2024-07-26,,Enrolled,
EP001023,E03088,P008,2024-09-06,2024-09-12,Completed,92.55
EP001024,E00963,P003,2025-11-29,,Enrolled,
EP001025,E00152,P007,2024-10-12,,Enrolled,
EP001026,E00774,P030,2026-07-01,,In Progress,
EP001027,E03407,P040,2024-09-26,,Enrolled,
EP001028,E03280,P010,2024-07-07,,Enrolled,
EP001029,E02099,P020,2025-11-04,2026-01-13,Completed,94.66
EP001030,E04578,P027,2025-01-29,2025-02-06,Completed,90.46
EP001031,E02105,P026,2026-07-27,,In Progress,
EP001032,E03167,P007,2024-09-19,2024-10-20,Completed,82.98
EP001033,E03936,P013,2025-07-10,2025-07-29,Completed,80.13
EP001034,E02958,P021,2025-01-24,,Enrolled,
EP001035,E01546,P010,2024-07-01,2024-08-07,Completed,75.91
EP001036,E02347,P036,2025-02-02,2025-02-06,Completed,76.41
EP001037,E02597,P038,2025-05-03,2025-06-02,Completed,76.31
EP001038,E02093,P012,2025-04-16,2025-05-24,Completed,73.91
EP001039,E00138,P038,2025-03-28,2025-05-14,Completed,81.99
EP001040,E02971,P028,2024-08-18,2024-09-07,Completed,77.65
EP001041,E04336,P033,2025-03-11,2025-03-29,Completed,62.92
EP001042,E02669,P019,2026-02-21,,Enrolled,
EP001043,E02655,P013,2025-07-16,2025-08-03,Completed,78.16
EP001044,E01292,P010,2024-08-20,2024-08-24,Completed,98.03
EP001045,E03048,P014,2026-10-04,2026-12-15,Completed,78.58
EP001046,E01239,P027,2025-01-03,,Enrolled,
EP001047,E03861,P008,2024-09-22,2024-09-22,Completed,96.66
EP001048,E02043,P034,2025-09-14,,Enrolled,
EP001049,E02652,P038,2025-05-02,2025-06-01,Completed,71.82
EP001050,E00681,P013,2025-06-13,2025-07-22,Completed,79.67
EP001051,E01062,P008,2024-10-12,2024-10-25,Completed,80.9
EP001052,E00607,P019,2026-03-10,2026-04-15,Completed,84.79
EP001053,E01635,P030,2026-06-06,,In Progress,
EP001054,E00113,P006,2025-08-14,,Withdrawn,
EP001055,E02605,P031,2026-07-07,,In Progress,
EP001056,E02331,P030,2026-07-24,2026-07-24,Completed,81.87
EP001057,E00413,P011,2025-02-24,2025-03-10,Completed,70.79
EP001058,E04560,P026,2026-07-29,2026-08-10,Completed,76.98
EP001059,E01636,P036,2025-01-09,2025-01-13,Completed,81.03
EP001060,E03566,P001,2025-12-13,2026-02-08,Completed,78.2
EP001061,E02341,P010,2024-07-25,,Withdrawn,
EP001062,E00765,P037,2026-06-03,,Enrolled,
EP001063,E01336,P027,2024-12-31,,Enrolled,
EP001064,E04510,P008,2024-09-13,2024-11-11,Completed,91.74
EP001065,E03834,P001,2025-12-23,2026-01-24,Completed,100.0
EP001066,E01669,P001,2026-02-09,,Enrolled,
EP001067,E04884,P014,2026-11-26,2026-12-17,Completed,84.08
EP001068,E00001,P022,2024-12-04,,Enrolled,
EP001069,E00948,P010,2024-06-22,2024-07-18,Completed,80.06
EP001070,E04997,P020,2025-12-21,,Enrolled,
EP001071,E01042,P008,2024-10-05,,Enrolled,
EP001072,E03090,P033,2025-01-05,,Enrolled,
EP001073,E01931,P009,2024-07-02,2024-10-05,Completed,83.32
EP001074,E01810,P026,2026-08-15,2026-09-01,Completed,80.8
EP001075,E01340,P021,2025-01-12,2025-02-28,Completed,78.04
EP001076,E03072,P038,2025-06-23,,Enrolled,
EP001077,E02776,P018,2026-05-04,2026-05-20,Completed,90.36
EP001078,E03869,P027,2025-01-01,,Withdrawn,
EP001079,E00642,P037,2026-06-12,,Enrolled,
EP001080,E02211,P001,2025-12-15,2026-01-09,Completed,84.48
EP001081,E00065,P013,2025-05-19,,Enrolled,
EP001082,E03754,P009,2024-09-25,,Withdrawn,
EP001083,E04199,P014,2026-10-25,2026-11-30,Completed,82.1
EP001084,E04621,P034,2025-08-14,,Withdrawn,
EP001085,E04927,P007,2024-09-06,,Enrolled,
EP001086,E03598,P019,2026-01-14,2026-04-23,Completed,83.0
EP001087,E01023,P028,2024-06-01,2024-07-05,Completed,73.87
EP001088,E00095,P003,2025-10-28,2025-12-06,Completed,68.17
EP001089,E02084,P009,2024-12-09,2024-12-27,Completed,64.76
EP001090,E03438,P027,2025-01-20,,Enrolled,
EP001091,E03563,P016,2024-08-04,2024-12-10,Completed,94.15
EP001092,E04832,P040,2024-11-18,,Enrolled,
EP001093,E02243,P014,2026-08-15,,In Progress,
EP001094,E03768,P038,2025-05-27,,Enrolled,
EP001095,E04382,P022,2024-12-27,2025-01-18,Completed,84.11
EP001096,E00152,P023,2025-05-10,2025-06-03,Completed,96.71
EP001097,E01273,P032,2024-12-01,2025-04-29,Completed,82.37
EP001098,E02867,P004,2026-02-13,2026-02-16,Completed,100.0
EP001099,E03189,P017,2024-06-24,,Enrolled,
EP001100,E01982,P019,2026-04-30,2026-05-14,Completed,76.85
EP001101,E00366,P008,2024-10-18,,Enrolled,
EP001102,E04479,P033,2025-03-03,2025-03-03,Completed,81.73
EP001103,E02211,P022,2024-12-22,,Enrolled,
EP001104,E02631,P030,2026-08-17,,In Progress,
EP001105,E01185,P036,2024-12-18,2024-12-30,Completed,80.6
EP001106,E01606,P027,2024-12-02,,Withdrawn,
EP001107,E00008,P013,2025-06-25,2025-07-25,Completed,80.29
EP001108,E02493,P023,2025-06-05,,Enrolled,
EP001109,E02133,P018,2026-07-16,2026-07-18,Completed,86.42
EP001110,E00362,P034,2025-09-09,,Enrolled,
EP001111,E00743,P039,2026-03-18,2026-04-07,Completed,94.04
EP001112,E04272,P006,2025-06-05,2025-07-30,Completed,84.36
EP001113,E00395,P007,2024-08-15,2024-09-20,Completed,78.09
EP001114,E02254,P007,2024-09-15,2024-10-12,Completed,87.39
EP001115,E03303,P013,2025-07-08,2025-07-13,Completed,89.6
EP001116,E02373,P001,2026-02-09,,Enrolled,
EP001117,E00596,P029,2026-01-02,,Withdrawn,
EP001118,E03417,P024,2025-04-30,2025-05-01,Completed,95.48
EP001119,E03941,P001,2025-11-21,2026-01-02,Completed,92.77
EP001120,E04097,P026,2026-10-01,2026-10-24,Completed,83.92
EP001121,E04241,P027,2025-01-22,2025-02-06,Completed,88.02
EP001122,E02002,P016,2024-11-01,,Enrolled,
EP001123,E00757,P037,2026-05-30,2026-06-08,Completed,78.16
EP001124,E01631,P010,2024-08-22,2024-08-28,Completed,84.66
EP001125,E04368,P031,2026-06-23,2026-08-11,Completed,79.3
EP001126,E02156,P015,2025-04-27,2025-05-24,Completed,96.18
EP001127,E03435,P025,2024-06-27,,Enrolled,
EP001128,E04445,P016,2024-09-25,2024-11-30,Completed,78.73
EP001129,E04733,P011,2025-03-23,2025-03-26,Completed,74.85
EP001130,E02731,P026,2026-08-02,2026-09-21,Completed,85.6
EP001131,E04309,P028,2024-08-26,2024-09-14,Completed,85.49
EP001132,E03911,P003,2025-10-17,2025-11-18,Completed,94.32
EP001133,E04933,P025,2024-09-17,,Withdrawn,
EP001134,E02394,P018,2026-05-28,2026-07-13,Completed,98.46
EP001135,E00923,P019,2026-05-22,,Enrolled,
EP001136,E00960,P019,2025-12-04,2026-03-16,Completed,71.33
EP001137,E02943,P015,2025-06-13,2025-06-19,Completed,75.69
EP001138,E03928,P037,2026-07-13,,Withdrawn,
EP001139,E02095,P016,2024-10-24,2024-11-20,Completed,77.61
EP001140,E01106,P032,2025-05-15,,Withdrawn,
EP001141,E02477,P040,2025-02-17,,Enrolled,
EP001142,E02113,P028,2024-06-27,2024-07-10,Completed,72.24
EP001143,E03806,P010,2024-07-20,2024-07-31,Completed,88.25
EP001144,E01619,P002,2024-08-17,2024-08-26,Completed,83.63
EP001145,E03647,P026,2026-08-16,2026-09-23,Completed,79.56
EP001146,E01135,P035,2024-07-05,2024-09-13,Completed,93.32
EP001147,E00986,P015,2025-03-09,2025-04-22,Completed,72.2
EP001148,E04883,P030,2026-07-17,2026-08-01,Completed,78.9
EP001149,E00128,P030,2026-06-22,2026-06-27,Completed,82.14
EP001150,E00261,P027,2024-12-02,2025-02-15,Completed,87.0
EP001151,E01684,P026,2026-10-15,2026-10-17,Completed,66.12
EP001152,E01657,P038,2025-06-23,2025-06-28,Completed,78.77
EP001153,E04796,P018,2026-05-21,,Enrolled,
EP001154,E03501,P034,2025-06-15,2025-07-02,Completed,95.41
EP001155,E01097,P018,2026-07-20,2026-07-20,Completed,78.83
EP001156,E00216,P022,2024-11-26,,Enrolled,
EP001157,E01966,P013,2025-06-11,2025-07-08,Completed,69.64
EP001158,E03300,P020,2025-10-16,,Enrolled,
EP001159,E04478,P008,2024-07-08,2024-08-27,Completed,87.89
EP001160,E03400,P017,2024-04-13,,Enrolled,
EP001161,E01855,P025,2024-09-02,2024-10-22,Completed,85.51
EP001162,E01419,P003,2025-09-25,,Enrolled,
EP001163,E01147,P013,2025-06-13,2025-07-13,Completed,96.61
EP001164,E02660,P038,2025-04-05,2025-05-27,Completed,87.45
EP001165,E00715,P003,2025-10-22,2025-11-23,Completed,89.44
EP001166,E03228,P017,2024-06-02,2024-06-05,Completed,83.59
EP001167,E02516,P030,2026-07-24,2026-08-15,Completed,79.8
EP001168,E00871,P008,2024-07-09,,Enrolled,
EP001169,E02182,P033,2025-03-11,,Enrolled,
EP001170,E03941,P005,2025-06-24,2025-07-07,Completed,79.06
EP001171,E00238,P020,2025-12-08,2026-01-16,Completed,87.8
EP001172,E03342,P030,2026-06-20,,In Progress,
EP001173,E02924,P007,2024-10-13,,Enrolled,
EP001174,E04252,P015,2025-03-09,,Enrolled,
EP001175,E00258,P021,2024-12-28,2025-01-17,Completed,68.65
EP001176,E02497,P021,2025-01-23,,Enrolled,
EP001177,E04052,P019,2026-02-03,,Enrolled,
EP001178,E02069,P004,2025-10-25,2026-02-16,Completed,81.77
EP001179,E00402,P003,2025-11-05,2025-12-04,Completed,86.41
EP001180,E02962,P035,2024-07-12,,Enrolled,
EP001181,E01308,P022,2024-11-29,2025-01-11,Completed,87.61
EP001182,E02463,P040,2024-11-02,,Withdrawn,
EP001183,E01898,P004,2025-09-07,,Withdrawn,
EP001184,E00139,P009,2024-08-18,,Enrolled,
EP001185,E00480,P035,2024-07-16,2024-09-18,Completed,77.83
EP001186,E01222,P040,2024-08-30,2024-10-24,Completed,85.45
EP001187,E01284,P035,2024-07-07,,Withdrawn,
EP001188,E00544,P040,2025-02-24,2025-02-25,Completed,81.29
EP001189,E00699,P028,2024-09-04,2024-09-20,Completed,83.5
EP001190,E01961,P016,2024-09-08,2024-11-02,Completed,90.44
EP001191,E04598,P010,2024-07-15,,Withdrawn,
EP001192,E02190,P026,2026-07-30,,In Progress,
EP001193,E02536,P024,2025-04-30,2025-04-30,Completed,79.66
EP001194,E03742,P025,2024-10-23,,Enrolled,
EP001195,E03213,P009,2024-10-01,2024-12-07,Completed,70.28
EP001196,E03151,P026,2026-07-20,,In Progress,
EP001197,E03116,P004,2025-11-07,2025-12-05,Completed,64.12
EP001198,E02443,P026,2026-10-22,2026-10-25,Completed,86.66
EP001199,E00158,P037,2026-06-16,2026-07-20,Completed,79.61
EP001200,E04335,P024,2025-02-04,2025-03-01,Completed,80.1
EP001201,E01493,P026,2026-09-07,2026-10-14,Completed,73.08
EP001202,E03280,P034,2025-06-03,2025-06-07,Completed,90.48
EP001203,E02553,P020,2026-01-17,,Enrolled,
EP001204,E00624,P029,2026-05-11,2026-05-26,Completed,64.0
EP001205,E03850,P029,2026-02-16,2026-03-27,Completed,87.71
EP001206,E03185,P040,2024-11-13,2025-01-21,Completed,81.08
EP001207,E02791,P026,2026-08-18,,In Progress,
EP001208,E02466,P030,2026-08-16,,In Progress,
EP001209,E04127,P033,2025-01-17,2025-01-22,Completed,74.06
EP001210,E00708,P019,2025-12-12,2026-02-19,Completed,90.33
EP001211,E02572,P038,2025-04-14,2025-05-24,Completed,86.49
EP001212,E03849,P008,2024-06-04,2024-10-26,Completed,88.24
EP001213,E00812,P004,2025-12-30,2026-01-24,Completed,73.12
EP001214,E00683,P031,2026-08-21,,In Progress,
EP001215,E01807,P019,2026-05-04,,Enrolled,
EP001216,E04206,P034,2025-03-13,2025-09-12,Completed,86.72
EP001217,E01945,P006,2025-05-22,2025-07-12,Completed,99.33
EP001218,E02085,P027,2024-11-30,,Enrolled,
EP001219,E01482,P004,2025-09-14,2026-02-18,Completed,80.59
EP001220,E03088,P006,2025-06-25,,Enrolled,
EP001221,E02806,P016,2024-07-23,2024-11-19,Completed,83.7
EP001222,E01090,P017,2024-06-15,2024-06-21,Completed,77.95
EP001223,E02804,P011,2025-02-09,2025-03-15,Completed,92.37
EP001224,E02786,P011,2025-02-22,2025-02-26,Completed,83.44
EP001225,E04134,P039,2026-03-31,,Enrolled,
EP001226,E04679,P012,2025-05-03,,Withdrawn,
EP001227,E02486,P034,2025-07-15,,Enrolled,
EP001228,E04818,P029,2026-01-03,2026-05-29,Completed,80.67
EP001229,E00638,P025,2024-08-15,,Enrolled,
EP001230,E04136,P010,2024-07-15,2024-07-20,Completed,90.16
EP001231,E03234,P031,2026-07-22,2026-08-22,Completed,100.0
EP001232,E04705,P009,2024-09-21,2024-12-13,Completed,100.0
EP001233,E01047,P029,2026-02-04,2026-05-28,Completed,79.77
EP001234,E04458,P019,2026-01-21,2026-05-01,Completed,91.84
EP001235,E01742,P035,2024-09-06,2024-09-18,Completed,97.48
EP001236,E01246,P034,2025-09-08,,Withdrawn,
EP001237,E04466,P036,2024-12-08,2024-12-29,Completed,72.3
EP001238,E02214,P010,2024-08-10,2024-08-16,Completed,98.2
EP001239,E00484,P036,2024-12-01,2025-01-04,Completed,85.93
EP001240,E02032,P025,2024-07-31,2024-11-03,Completed,96.62
EP001241,E02592,P021,2025-01-08,2025-01-22,Completed,83.55
EP001242,E04329,P024,2025-03-15,2025-04-15,Completed,79.38
EP001243,E03185,P003,2025-09-28,,Enrolled,
EP001244,E00411,P009,2024-07-11,,Withdrawn,
EP001245,E02420,P023,2025-08-20,,Enrolled,
EP001246,E02757,P030,2026-06-19,2026-07-14,Completed,79.78
EP001247,E00280,P009,2024-08-11,2024-09-05,Completed,88.86
EP001248,E00604,P026,2026-10-09,,In Progress,
EP001249,E02804,P003,2025-11-14,,Enrolled,
EP001250,E01493,P012,2025-04-30,2025-07-01,Completed,80.26
EP001251,E03717,P016,2024-09-15,2024-10-03,Completed,77.3
EP001252,E04497,P018,2026-05-20,,Enrolled,
EP001253,E01365,P002,2024-08-31,,Withdrawn,
EP001254,E04388,P024,2025-01-10,2025-02-18,Completed,84.6
EP001255,E01858,P021,2025-03-03,2025-03-06,Completed,78.19
EP001256,E02526,P005,2025-05-28,2025-06-06,Completed,94.83
EP001257,E02386,P019,2026-03-02,,Enrolled,
EP001258,E02736,P016,2024-11-18,,Enrolled,
EP001259,E03749,P008,2024-07-08,2024-09-04,Completed,84.65
EP001260,E04176,P013,2025-07-24,,Enrolled,
EP001261,E04140,P007,2024-09-28,2024-09-28,Completed,100.0
EP001262,E02654,P005,2025-05-20,2025-07-21,Completed,85.01
EP001263,E03014,P026,2026-10-03,2026-10-13,Completed,78.69
EP001264,E03384,P007,2024-10-11,,Enrolled,
EP001265,E01340,P020,2025-09-18,2026-01-11,Completed,88.38
EP001266,E01257,P008,2024-10-29,2024-11-14,Completed,80.4
EP001267,E00980,P031,2026-08-02,2026-08-10,Completed,85.06
EP001268,E01947,P023,2025-08-11,,Enrolled,
EP001269,E00728,P016,2024-10-09,2024-11-01,Completed,90.11
EP001270,E03782,P021,2025-01-31,,Enrolled,
EP001271,E00041,P010,2024-08-20,2024-08-27,Completed,85.11
EP001272,E00382,P018,2026-04-23,2026-06-09,Completed,84.93
EP001273,E03193,P023,2025-08-12,,Enrolled,
EP001274,E01163,P016,2024-09-20,,Enrolled,
EP001275,E02365,P008,2024-06-25,,Enrolled,
EP001276,E04852,P036,2025-01-02,2025-01-28,Completed,62.43
EP001277,E00306,P007,2024-10-14,2024-10-17,Completed,70.67
EP001278,E02599,P003,2025-10-03,,Enrolled,
EP001279,E04911,P020,2025-10-25,2025-10-31,Completed,74.11
EP001280,E02452,P021,2025-01-03,,Enrolled,
EP001281,E01308,P040,2025-02-07,,Enrolled,
EP001282,E04875,P008,2024-07-04,,Enrolled,
EP001283,E02742,P010,2024-08-17,,Enrolled,
EP001284,E02367,P009,2024-08-13,2024-10-11,Completed,91.61
EP001285,E00215,P029,2026-05-03,2026-05-12,Completed,92.39
EP001286,E02795,P033,2025-02-22,2025-04-04,Completed,88.33
EP001287,E02803,P001,2025-12-10,2026-02-20,Completed,83.86
EP001288,E04152,P015,2025-06-05,2025-06-17,Completed,81.02
EP001289,E03370,P029,2026-02-24,2026-04-05,Completed,94.01
EP001290,E02105,P010,2024-06-10,2024-08-12,Completed,86.72
EP001291,E02520,P027,2024-11-21,2024-11-24,Completed,94.05
EP001292,E04866,P014,2026-12-26,,Withdrawn,
EP001293,E00599,P033,2025-02-01,,Enrolled,
EP001294,E02418,P030,2026-07-13,2026-07-13,Completed,90.12
EP001295,E03452,P012,2025-04-27,2025-05-04,Completed,80.17
EP001296,E01593,P013,2025-07-28,,Withdrawn,
EP001297,E03004,P002,2024-08-10,,Enrolled,
EP001298,E04544,P038,2025-05-19,,Withdrawn,
EP001299,E02189,P012,2025-06-08,2025-06-20,Completed,82.33
EP001300,E03276,P018,2026-04-23,2026-07-13,Completed,81.62
EP001301,E01526,P015,2025-03-14,,Enrolled,
EP001302,E01978,P008,2024-09-28,,Enrolled,
EP001303,E00514,P040,2024-10-05,2024-10-31,Completed,89.73
EP001304,E01397,P038,2025-06-10,2025-06-25,Completed,93.56
EP001305,E02366,P013,2025-08-04,,Enrolled,
EP001306,E02508,P027,2024-12-31,2025-02-09,Completed,65.1
